,Env,wrtSeason,River,iter,dNdt
1,Flow,Autumn,Jimmy,1,-6.996983931
2,Flow,Autumn,Jimmy,2,-6.725696132
3,Flow,Autumn,Jimmy,3,-6.632932046
4,Flow,Autumn,Jimmy,4,-6.694702001
5,Flow,Autumn,Jimmy,5,-6.914820048
6,Flow,Autumn,Jimmy,6,-7.331341175
7,Flow,Autumn,Jimmy,7,-8.02958846
8,Flow,Autumn,Jimmy,8,-9.151871862
9,Flow,Autumn,Jimmy,9,-10.83922654
10,Flow,Autumn,Jimmy,10,-12.82729262
11,Flow,Autumn,Mitchell,1,-6.599724129
12,Flow,Autumn,Mitchell,2,-6.760050988
13,Flow,Autumn,Mitchell,3,-6.77764002
14,Flow,Autumn,Mitchell,4,-6.601926704
15,Flow,Autumn,Mitchell,5,-6.213558835
16,Flow,Autumn,Mitchell,6,-5.636987873
17,Flow,Autumn,Mitchell,7,-4.939704312
18,Flow,Autumn,Mitchell,8,-4.214016628
19,Flow,Autumn,Mitchell,9,-3.543156942
20,Flow,Autumn,Mitchell,10,-2.957958823
21,Flow,Autumn,Obear,1,-5.303085273
22,Flow,Autumn,Obear,2,-5.547177086
23,Flow,Autumn,Obear,3,-5.810227533
24,Flow,Autumn,Obear,4,-6.093712494
25,Flow,Autumn,Obear,5,-6.398871473
26,Flow,Autumn,Obear,6,-6.727007056
27,Flow,Autumn,Obear,7,-7.080026306
28,Flow,Autumn,Obear,8,-7.461324788
29,Flow,Autumn,Obear,9,-7.877256519
30,Flow,Autumn,Obear,10,-8.339921812
31,Flow,Autumn,Westbrook,1,-11.93128229
32,Flow,Autumn,Westbrook,2,-11.86700964
33,Flow,Autumn,Westbrook,3,-11.9460141
34,Flow,Autumn,Westbrook,4,-12.14210452
35,Flow,Autumn,Westbrook,5,-12.42870846
36,Flow,Autumn,Westbrook,6,-12.78328669
37,Flow,Autumn,Westbrook,7,-13.19589413
38,Flow,Autumn,Westbrook,8,-13.68231868
39,Flow,Autumn,Westbrook,9,-14.29398453
40,Flow,Autumn,Westbrook,10,-15.07729379
41,Flow,Spring,Jimmy,1,1.975949425
42,Flow,Spring,Jimmy,2,1.936990664
43,Flow,Spring,Jimmy,3,1.901758551
44,Flow,Spring,Jimmy,4,1.868469727
45,Flow,Spring,Jimmy,5,1.835421403
46,Flow,Spring,Jimmy,6,1.799470535
47,Flow,Spring,Jimmy,7,1.753144987
48,Flow,Spring,Jimmy,8,1.678445703
49,Flow,Spring,Jimmy,9,1.532631106
50,Flow,Spring,Jimmy,10,1.226924696
51,Flow,Spring,Mitchell,1,4.137608548
52,Flow,Spring,Mitchell,2,4.204128458
53,Flow,Spring,Mitchell,3,4.187277884
54,Flow,Spring,Mitchell,4,4.052894387
55,Flow,Spring,Mitchell,5,3.77047812
56,Flow,Spring,Mitchell,6,3.326561394
57,Flow,Spring,Mitchell,7,2.740857864
58,Flow,Spring,Mitchell,8,2.074936556
59,Flow,Spring,Mitchell,9,1.419016207
60,Flow,Spring,Mitchell,10,0.857686208
61,Flow,Spring,Obear,1,1.676982981
62,Flow,Spring,Obear,2,1.766982517
63,Flow,Spring,Obear,3,1.870140476
64,Flow,Spring,Obear,4,1.989738355
65,Flow,Spring,Obear,5,2.130010548
66,Flow,Spring,Obear,6,2.296558014
67,Flow,Spring,Obear,7,2.497008928
68,Flow,Spring,Obear,8,2.74213828
69,Flow,Spring,Obear,9,3.047901075
70,Flow,Spring,Obear,10,3.439464313
71,Flow,Spring,Westbrook,1,7.976906354
72,Flow,Spring,Westbrook,2,7.705345728
73,Flow,Spring,Westbrook,3,7.313611405
74,Flow,Spring,Westbrook,4,6.759987145
75,Flow,Spring,Westbrook,5,6.027442327
76,Flow,Spring,Westbrook,6,5.130182975
77,Flow,Spring,Westbrook,7,4.115250448
78,Flow,Spring,Westbrook,8,3.058225155
79,Flow,Spring,Westbrook,9,2.052433676
80,Flow,Spring,Westbrook,10,1.192162668
81,Flow,Summer,Jimmy,1,1.021058452
82,Flow,Summer,Jimmy,2,1.111668229
83,Flow,Summer,Jimmy,3,1.21607839
84,Flow,Summer,Jimmy,4,1.337827938
85,Flow,Summer,Jimmy,5,1.482150806
86,Flow,Summer,Jimmy,6,1.656606189
87,Flow,Summer,Jimmy,7,1.872166081
88,Flow,Summer,Jimmy,8,2.144408782
89,Flow,Summer,Jimmy,9,2.490642922
90,Flow,Summer,Jimmy,10,2.898617414
91,Flow,Summer,Mitchell,1,2.344211311
92,Flow,Summer,Mitchell,2,2.387323282
93,Flow,Summer,Mitchell,3,2.410839966
94,Flow,Summer,Mitchell,4,2.400660551
95,Flow,Summer,Mitchell,5,2.341489058
96,Flow,Summer,Mitchell,6,2.221020318
97,Flow,Summer,Mitchell,7,2.036463706
98,Flow,Summer,Mitchell,8,1.800783845
99,Flow,Summer,Mitchell,9,1.542778261
100,Flow,Summer,Mitchell,10,1.296658564
101,Flow,Summer,Obear,1,0.937983127
102,Flow,Summer,Obear,2,1.029803701
103,Flow,Summer,Obear,3,1.118660438
104,Flow,Summer,Obear,4,1.200848312
105,Flow,Summer,Obear,5,1.270954705
106,Flow,Summer,Obear,6,1.320968062
107,Flow,Summer,Obear,7,1.338846433
108,Flow,Summer,Obear,8,1.306157223
109,Flow,Summer,Obear,9,1.194005284
110,Flow,Summer,Obear,10,0.955478569
111,Flow,Summer,Westbrook,1,3.667061419
112,Flow,Summer,Westbrook,2,3.684688319
113,Flow,Summer,Westbrook,3,3.774641013
114,Flow,Summer,Westbrook,4,3.940050913
115,Flow,Summer,Westbrook,5,4.184260217
116,Flow,Summer,Westbrook,6,4.508996091
