,Type,River,iter,dNdt
1,Direct,Jimmy,1,-30.53627042
2,Direct,Jimmy,2,-31.54419637
3,Direct,Jimmy,3,-32.67713317
4,Direct,Jimmy,4,-34.05222753
5,Direct,Jimmy,5,-35.79107557
6,Direct,Jimmy,6,-38.02498978
7,Direct,Jimmy,7,-40.87702851
8,Direct,Jimmy,8,-44.36252623
9,Direct,Jimmy,9,-48.00458889
10,Direct,Jimmy,10,-49.61683217
11,Direct,Mitchell,1,-23.2824943
12,Direct,Mitchell,2,-23.25448443
13,Direct,Mitchell,3,-22.72527371
14,Direct,Mitchell,4,-21.66759398
15,Direct,Mitchell,5,-20.11087308
16,Direct,Mitchell,6,-18.140936
17,Direct,Mitchell,7,-15.89322673
18,Direct,Mitchell,8,-13.53819827
19,Direct,Mitchell,9,-11.24295518
20,Direct,Mitchell,10,-9.082983687
21,Direct,Obear,1,-35.28408163
22,Direct,Obear,2,-35.47083908
23,Direct,Obear,3,-35.70073012
24,Direct,Obear,4,-35.99631174
25,Direct,Obear,5,-36.38454016
26,Direct,Obear,6,-36.89875816
27,Direct,Obear,7,-37.5827208
28,Direct,Obear,8,-38.49857963
29,Direct,Obear,9,-39.74345207
30,Direct,Obear,10,-41.48651014
31,Direct,Westbrook,1,-28.14213572
32,Direct,Westbrook,2,-32.69364488
33,Direct,Westbrook,3,-36.69152469
34,Direct,Westbrook,4,-40.09508738
35,Direct,Westbrook,5,-42.83970826
36,Direct,Westbrook,6,-44.86934612
37,Direct,Westbrook,7,-46.17373997
38,Direct,Westbrook,8,-46.82624971
39,Direct,Westbrook,9,-46.97744021
40,Direct,Westbrook,10,-46.60425008
41,Indirect,Jimmy,1,17.14132325
42,Indirect,Jimmy,2,18.3353052
43,Indirect,Jimmy,3,19.35925803
44,Indirect,Jimmy,4,20.32445314
45,Indirect,Jimmy,5,21.28256689
46,Indirect,Jimmy,6,22.20733212
47,Indirect,Jimmy,7,22.93762742
48,Indirect,Jimmy,8,23.05429449
49,Indirect,Jimmy,9,21.67934798
50,Indirect,Jimmy,10,17.45284624
51,Indirect,Mitchell,1,8.820154242
52,Indirect,Mitchell,2,8.088564763
53,Indirect,Mitchell,3,7.057003871
54,Indirect,Mitchell,4,5.834723892
55,Indirect,Mitchell,5,4.555926643
56,Indirect,Mitchell,6,3.350071884
57,Indirect,Mitchell,7,2.315357736
58,Indirect,Mitchell,8,1.50307721
59,Indirect,Mitchell,9,0.915469727
60,Indirect,Mitchell,10,0.517083736
61,Indirect,Obear,1,23.3752396
62,Indirect,Obear,2,22.68714729
63,Indirect,Obear,3,21.91626041
64,Indirect,Obear,4,21.03409193
65,Indirect,Obear,5,19.99621542
66,Indirect,Obear,6,18.73560229
67,Indirect,Obear,7,17.15357093
68,Indirect,Obear,8,15.10632228
69,Indirect,Obear,9,12.38340338
70,Indirect,Obear,10,8.670478936
71,Indirect,Westbrook,1,12.68230512
72,Indirect,Westbrook,2,17.26580611
73,Indirect,Westbrook,3,20.64723913
74,Indirect,Westbrook,4,22.8083531
75,Indirect,Westbrook,5,23.76669038
76,Indirect,Westbrook,6,23.60467795
77,Indirect,Westbrook,7,22.4861301
78,Indirect,Westbrook,8,20.64646335
79,Indirect,Westbrook,9,18.33189621
80,Indirect,Westbrook,10,15.63853573
81,Total,Jimmy,1,-13.39494717
82,Total,Jimmy,2,-13.20889117
83,Total,Jimmy,3,-13.31787514
84,Total,Jimmy,4,-13.72777439
85,Total,Jimmy,5,-14.50850868
86,Total,Jimmy,6,-15.81765765
87,Total,Jimmy,7,-17.93940109
88,Total,Jimmy,8,-21.30823174
89,Total,Jimmy,9,-26.32524091
90,Total,Jimmy,10,-32.16398593
91,Total,Mitchell,1,-14.46234006
92,Total,Mitchell,2,-15.16591967
93,Total,Mitchell,3,-15.66826984
94,Total,Mitchell,4,-15.83287009
95,Total,Mitchell,5,-15.55494643
96,Total,Mitchell,6,-14.79086412
97,Total,Mitchell,7,-13.577869
98,Total,Mitchell,8,-12.03512106
99,Total,Mitchell,9,-10.32748546
100,Total,Mitchell,10,-8.565899951
101,Total,Obear,1,-11.90884203
102,Total,Obear,2,-12.78369179
103,Total,Obear,3,-13.7844697
104,Total,Obear,4,-14.96221981
105,Total,Obear,5,-16.38832474
106,Total,Obear,6,-18.16315586
107,Total,Obear,7,-20.42914987
108,Total,Obear,8,-23.39225735
109,Total,Obear,9,-27.36004869
110,Total,Obear,10,-32.8160312
111,Total,Westbrook,1,-15.4598306
112,Total,Westbrook,2,-15.42783878
113,Total,Westbrook,3,-16.04428556
114,Total,Westbrook,4,-17.28673428
115,Total,Westbrook,5,-19.07301788
116,Total,Westbrook,6,-21.26466816
117,Total,Westbrook,7,-23.68760987
118,Total,Westbrook,8,-26.17978636
119,Total,Westbrook,9,-28.645544
120,Total,Westbrook,10,-30.96571435
